                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8562,                 2.2259,                 1.5436,                0.76852,                0.62198,                0.70557,                0.37036,                 1.5545,                  1.476,                 1.2949,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.7993,                 1.7581,                 1.4754,                0.75474,                0.56622,                0.65701,                0.32371,                 1.7177,                 1.5161,                 1.3833,               0.006597,               0.006597,               0.006597
                      3,                 1.8687,                 1.7619,                 1.5373,                0.74687,                0.53138,                0.61786,                0.30505,                 1.8008,                 1.5788,                 1.4705,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.9043,                 1.7733,                 1.5914,                 0.7328,                0.56146,                0.64726,                 0.3247,                 1.7192,                 1.4451,                 1.4467,               0.009703,               0.009703,               0.009703
                      5,                 1.8507,                 1.6536,                 1.5574,                0.77978,                0.62193,                0.72184,                 0.3816,                 1.6427,                 1.3162,                 1.3941,               0.009604,               0.009604,               0.009604
                      6,                 1.8069,                 1.5743,                   1.53,                0.79912,                0.65808,                0.75545,                0.40576,                 1.5972,                  1.213,                 1.3382,               0.009505,               0.009505,               0.009505
                      7,                 1.7717,                 1.5091,                 1.5015,                0.82606,                0.64898,                0.76689,                0.42312,                  1.558,                 1.1542,                  1.341,               0.009406,               0.009406,               0.009406
                      8,                 1.7438,                 1.4517,                 1.4783,                0.82939,                0.68474,                0.78726,                0.43457,                 1.5527,                 1.1236,                 1.3217,               0.009307,               0.009307,               0.009307
                      9,                 1.7176,                 1.4011,                   1.46,                0.82333,                0.69365,                0.79429,                0.43861,                 1.5558,                 1.0958,                 1.3317,               0.009208,               0.009208,               0.009208
                     10,                 1.6942,                 1.3633,                 1.4494,                0.84404,                0.71222,                0.81427,                0.44302,                 1.5333,                  1.049,                 1.3127,               0.009109,               0.009109,               0.009109
                     11,                 1.6865,                 1.3339,                 1.4429,                0.84636,                0.71909,                0.82363,                0.47358,                 1.4774,                 1.0274,                 1.2884,                0.00901,                0.00901,                0.00901
                     12,                 1.6681,                 1.3093,                   1.43,                0.85054,                0.74489,                0.83935,                0.49079,                 1.4296,                 0.9638,                 1.2507,               0.008911,               0.008911,               0.008911
                     13,                 1.6504,                 1.2795,                  1.419,                0.83573,                0.74434,                0.83798,                0.49261,                 1.4201,                0.96043,                 1.2504,               0.008812,               0.008812,               0.008812
                     14,                 1.6383,                 1.2576,                 1.4088,                 0.8548,                0.73123,                0.83589,                0.49679,                 1.4214,                0.95322,                 1.2485,               0.008713,               0.008713,               0.008713
                     15,                 1.6373,                 1.2439,                 1.3998,                0.87062,                0.75343,                0.85075,                0.50759,                 1.4011,                0.90644,                 1.2444,               0.008614,               0.008614,               0.008614
                     16,                 1.6189,                 1.2245,                 1.3929,                0.86051,                0.76055,                 0.8566,                0.52352,                 1.3672,                0.87724,                 1.2215,               0.008515,               0.008515,               0.008515
                     17,                 1.6106,                 1.2054,                 1.3868,                0.85479,                0.76066,                0.85582,                0.51074,                  1.376,                0.91793,                  1.226,               0.008416,               0.008416,               0.008416
                     18,                 1.5885,                 1.1792,                 1.3728,                0.86507,                0.76309,                0.86019,                0.52014,                 1.3784,                0.87829,                 1.2253,               0.008317,               0.008317,               0.008317
                     19,                 1.5868,                 1.1721,                 1.3693,                0.87596,                0.77571,                0.86918,                0.53429,                 1.3398,                0.84563,                 1.2014,               0.008218,               0.008218,               0.008218
                     20,                 1.5812,                  1.157,                 1.3662,                0.88642,                 0.7655,                0.86657,                0.52327,                 1.3649,                0.86139,                 1.2046,               0.008119,               0.008119,               0.008119
                     21,                 1.5741,                  1.149,                 1.3575,                0.87821,                0.76625,                0.86998,                0.53409,                 1.3524,                0.82985,                  1.208,                0.00802,                0.00802,                0.00802
                     22,                 1.5652,                 1.1282,                 1.3508,                0.89098,                0.78648,                0.88041,                0.54358,                 1.3296,                0.81394,                  1.182,               0.007921,               0.007921,               0.007921
                     23,                   1.55,                 1.1172,                 1.3444,                0.88346,                0.79744,                0.88184,                0.55194,                 1.3083,                0.80886,                 1.1825,               0.007822,               0.007822,               0.007822
                     24,                 1.5423,                 1.1055,                 1.3396,                0.87104,                0.79504,                 0.8813,                0.55034,                 1.3096,                0.79009,                 1.1771,               0.007723,               0.007723,               0.007723
                     25,                  1.544,                 1.0991,                 1.3375,                0.88967,                0.79798,                0.88578,                0.55735,                 1.2969,                0.78632,                 1.1735,               0.007624,               0.007624,               0.007624
                     26,                 1.5332,                 1.0818,                 1.3289,                0.88498,                0.80672,                0.89114,                0.56569,                 1.2769,                 0.7722,                  1.165,               0.007525,               0.007525,               0.007525
                     27,                  1.524,                 1.0832,                 1.3265,                0.88127,                0.80524,                0.88923,                0.56527,                 1.2811,                0.76917,                  1.164,               0.007426,               0.007426,               0.007426
                     28,                 1.5228,                 1.0681,                 1.3215,                0.89064,                0.81248,                0.89542,                0.56605,                 1.2873,                0.76006,                 1.1677,               0.007327,               0.007327,               0.007327
                     29,                 1.5089,                 1.0516,                  1.312,                0.89517,                0.81545,                0.89638,                0.57223,                 1.2649,                0.75157,                 1.1546,               0.007228,               0.007228,               0.007228
                     30,                 1.5059,                 1.0487,                 1.3114,                0.88715,                0.81248,                0.89554,                 0.5694,                  1.275,                0.75052,                 1.1596,               0.007129,               0.007129,               0.007129
                     31,                 1.5017,                 1.0404,                 1.3039,                0.89447,                0.81832,                0.89415,                0.57013,                 1.2694,                0.74573,                 1.1573,                0.00703,                0.00703,                0.00703
                     32,                 1.4943,                 1.0309,                  1.302,                0.89479,                0.81563,                0.90033,                0.57699,                 1.2611,                0.73317,                 1.1492,               0.006931,               0.006931,               0.006931
                     33,                 1.4903,                   1.03,                 1.2977,                0.89239,                0.82065,                0.89941,                0.57922,                 1.2571,                0.72939,                 1.1474,               0.006832,               0.006832,               0.006832
                     34,                 1.4898,                 1.0245,                 1.2986,                0.89508,                0.82529,                0.90146,                0.58175,                  1.246,                0.72655,                 1.1408,               0.006733,               0.006733,               0.006733
                     35,                 1.4826,                 1.0161,                 1.2906,                0.89608,                0.82993,                0.90525,                0.58782,                 1.2289,                0.70711,                 1.1306,               0.006634,               0.006634,               0.006634
                     36,                 1.4724,                 1.0023,                  1.285,                0.89647,                0.82325,                0.90404,                 0.5863,                 1.2412,                0.70878,                 1.1321,               0.006535,               0.006535,               0.006535
                     37,                  1.468,                0.99426,                 1.2818,                0.89398,                 0.8329,                 0.9084,                 0.5877,                 1.2386,                0.70034,                 1.1341,               0.006436,               0.006436,               0.006436
                     38,                  1.457,                0.98804,                 1.2761,                 0.8992,                0.83314,                0.90772,                0.59011,                 1.2276,                 0.6934,                 1.1275,               0.006337,               0.006337,               0.006337
                     39,                 1.4626,                0.98631,                 1.2772,                0.90714,                0.82523,                0.90761,                0.59198,                 1.2248,                0.69515,                 1.1245,               0.006238,               0.006238,               0.006238
